n	tempo
90000	0.40258
90000	0.40850
90000	0.41806
90000	0.41748
90000	0.41675
95000	0.44257
95000	0.44214
95000	0.44043
95000	0.44046
95000	0.44006
100000	0.46315
100000	0.46320
100000	0.46335
100000	0.46445
100000	0.46355
105000	0.48639
105000	0.48644
105000	0.48721
105000	0.48769
105000	0.48610
110000	0.50938
110000	0.51038
110000	0.51066
110000	0.51103
110000	0.51119
115000	0.53413
115000	0.53336
115000	0.53504
115000	0.53635
115000	0.53619
120000	0.55742
120000	0.55707
120000	0.55778
120000	0.55696
120000	0.55836
125000	0.58124
125000	0.58169
125000	0.58176
125000	0.58151
125000	0.58250
130000	0.60605
130000	0.60699
130000	0.60524
130000	0.60534
130000	0.60552
135000	0.62768
135000	0.62815
135000	0.62803
135000	0.62900
135000	0.62790
140000	0.65130
140000	0.65123
140000	0.65122
140000	0.65085
140000	0.65220
145000	0.67471
145000	0.67568
145000	0.67335
145000	0.67311
145000	0.67353
150000	0.69653
150000	0.69624
150000	0.69628
150000	0.69635
150000	0.69707
155000	0.72066
155000	0.72079
155000	0.72067
155000	0.72183
155000	0.72201
160000	0.74370
160000	0.74393
160000	0.74330
160000	0.74288
160000	0.74361
165000	0.76662
165000	0.76689
165000	0.76639
165000	0.76669
165000	0.76687
170000	0.79039
170000	0.79017
170000	0.78869
170000	0.78954
170000	0.79054
175000	0.81243
175000	0.81344
175000	0.81492
175000	0.81413
175000	0.81384
180000	0.83697
180000	0.83720
180000	0.83720
180000	0.83547
180000	0.83737
185000	0.86008
185000	0.86037
185000	0.85884
185000	0.85920
185000	0.86026
190000	0.88313
190000	0.88455
190000	0.88332
190000	0.88261
190000	0.88365
195000	0.90815
195000	0.91516
195000	0.91168
195000	0.91427
195000	0.91603
200000	0.93849
200000	0.94049
200000	0.93330
200000	0.93540
200000	0.93130
205000	0.95287
205000	0.95203
205000	0.95135
205000	0.95417
205000	0.95518
210000	0.97713
210000	0.97866
210000	0.98339
210000	0.98289
210000	0.98348
215000	1.00837
215000	1.00163
215000	1.00698
215000	0.99699
215000	0.99797
220000	1.03091
220000	1.02087
220000	1.02681
220000	1.02740
220000	1.02484
225000	1.05164
225000	1.05464
225000	1.05633
225000	1.04508
225000	1.04636
230000	1.07441
230000	1.07062
230000	1.06976
230000	1.06911
230000	1.06947
235000	1.09314
235000	1.09436
235000	1.09360
235000	1.09426
235000	1.09350
240000	1.11729
240000	1.11685
240000	1.11582
240000	1.11839
240000	1.11480
245000	1.13884
245000	1.13866
245000	1.13885
245000	1.14129
245000	1.14094
250000	1.16495
250000	1.16421
250000	1.16754
250000	1.16645
250000	1.16622
255000	1.18857
255000	1.19052
255000	1.18896
255000	1.18968
255000	1.18837
260000	1.21240
260000	1.21306
260000	1.21313
260000	1.21836
260000	1.21762
265000	1.24516
265000	1.23899
265000	1.23719
265000	1.23538
265000	1.23799
270000	1.26041
270000	1.25866
270000	1.25992
270000	1.25919
270000	1.26086
275000	1.28341
275000	1.28273
275000	1.28344
275000	1.28439
275000	1.28632
280000	1.31215
280000	1.31384
280000	1.31082
280000	1.30619
280000	1.30495
285000	1.32969
285000	1.32874
285000	1.32925
285000	1.32844
285000	1.33038
290000	1.35417
290000	1.35242
290000	1.35270
290000	1.35292
290000	1.35386
295000	1.37574
295000	1.37667
295000	1.37748
295000	1.37385
295000	1.37778
300000	1.40041
300000	1.40046
300000	1.39832
300000	1.39987
300000	1.39950
305000	1.42303
305000	1.42413
305000	1.42324
305000	1.42210
305000	1.42289
310000	1.44678
310000	1.44483
310000	1.44668
310000	1.44892
310000	1.44522
315000	1.46835
315000	1.46912
315000	1.46816
315000	1.47013
315000	1.47020
320000	1.49183
320000	1.49408
320000	1.49197
320000	1.48859
320000	1.48909
325000	1.51224
325000	1.51147
325000	1.51236
325000	1.51214
325000	1.51184
330000	1.53484
330000	1.53464
330000	1.53514
330000	1.53581
330000	1.53427
335000	1.55685
