n	tempo
515000	2.37305
520000	2.39715
520000	2.39448
520000	2.39210
520000	2.39145
520000	2.39463
525000	2.41738
525000	2.43957
525000	2.46362
525000	2.46791
525000	2.46466
530000	2.48449
530000	2.48595
530000	2.48716
530000	2.48972
530000	2.48883
535000	2.51192
535000	2.51492
535000	2.50797
535000	2.52218
535000	2.51574
540000	2.54416
540000	2.54353
540000	2.53074
540000	2.53624
540000	2.53328
545000	2.56373
545000	2.56758
545000	2.55834
545000	2.55954
545000	2.55969
550000	2.58520
550000	2.58498
550000	2.58219
550000	2.58059
550000	2.58382
555000	2.61463
555000	2.60618
555000	2.60165
555000	2.60590
555000	2.60176
560000	2.62634
560000	2.62916
560000	2.63127
560000	2.62631
560000	2.63646
565000	2.65634
565000	2.64740
565000	2.64680
565000	2.65084
565000	2.64512
570000	2.67012
570000	2.68581
570000	2.67600
570000	2.66795
570000	2.67328
575000	2.69175
575000	2.69400
575000	2.69931
575000	2.69947
575000	2.70005
580000	2.72085
580000	2.72400
580000	2.71928
580000	2.72253
580000	2.72081
585000	2.74537
585000	2.76121
585000	2.75915
585000	2.69187
585000	2.68443
590000	2.71329
590000	2.76800
590000	2.78259
590000	2.78461
590000	2.77848
595000	2.79720
595000	2.79570
595000	2.79624
595000	2.79687
595000	2.79677
600000	2.82131
600000	2.82232
600000	2.81850
600000	2.81800
600000	2.81740
605000	2.84148
605000	2.84153
605000	2.84198
605000	2.84084
605000	2.84319
610000	2.86627
610000	2.86815
610000	2.86535
610000	2.86680
610000	2.86245
615000	2.88786
615000	2.88984
615000	2.88632
615000	2.89026
615000	2.89030
620000	2.90770
620000	2.90889
620000	2.91502
620000	2.91481
620000	2.91573
625000	2.93897
625000	2.93706
625000	2.93496
625000	2.93617
625000	2.93672
630000	2.95992
630000	2.95895
630000	2.95833
630000	2.96007
630000	2.96094
635000	2.98435
635000	2.98171
635000	2.98262
635000	2.98185
635000	2.98483
640000	3.00547
640000	3.00873
640000	3.00745
640000	3.00949
640000	3.01152
645000	3.03293
645000	3.03928
645000	3.02911
645000	3.03345
645000	3.03133
650000	3.05788
650000	3.06923
650000	3.06116
650000	3.05816
650000	3.05906
655000	3.08378
655000	3.08488
655000	3.07490
655000	3.07605
655000	3.07576
660000	3.10094
660000	3.10236
660000	3.10367
660000	3.10405
660000	3.10385
665000	3.11282
665000	3.11118
665000	3.11054
665000	3.12407
665000	3.11357
670000	3.13514
670000	3.13212
670000	3.12973
670000	3.12874
670000	3.12840
675000	3.15312
675000	3.15788
675000	3.15353
675000	3.15584
675000	3.15656
680000	3.18337
680000	3.19739
680000	3.21089
680000	3.28598
680000	3.28041
685000	3.27204
685000	3.27263
685000	3.27275
685000	3.27588
685000	3.27672
690000	3.30912
690000	3.29959
690000	3.30294
690000	3.29377
690000	3.29447
695000	3.32180
695000	3.32343
695000	3.31645
695000	3.31930
695000	3.31918
700000	3.34502
700000	3.34332
700000	3.34858
700000	3.34397
700000	3.34061
705000	3.36210
705000	3.36730
705000	3.36462
705000	3.36477
705000	3.36711
710000	3.38711
710000	3.39094
710000	3.39087
710000	3.39143
710000	3.39073
715000	3.41363
715000	3.41492
715000	3.41070
715000	3.41782
715000	3.41227
720000	3.43838
720000	3.43478
720000	3.43499
720000	3.43380
720000	3.43843
725000	3.46141
725000	3.46453
725000	3.45663
725000	3.45707
725000	3.47138
730000	3.51500
730000	3.52044
730000	3.52159
730000	3.52018
730000	3.51509
735000	3.53943
735000	3.53782
735000	3.53720
735000	3.53820
735000	3.53883
740000	3.56713
740000	3.56272
740000	3.56100
740000	3.56038
740000	3.56274
745000	3.58502
745000	3.58969
745000	3.58435
745000	3.58801
745000	3.58451
750000	3.60234
750000	3.60362
750000	3.60371
750000	3.60473
750000	3.60875
755000	3.63660
755000	3.63473
755000	3.63300
755000	3.63361
755000	3.63815
760000	3.65779
760000	3.66572
760000	3.66777
760000	3.65354
760000	3.65116
765000	3.68379
765000	3.68680
765000	3.68477
765000	3.67769
765000	3.67496
770000	3.70454
770000	3.70344
770000	3.70412
770000	3.70775
770000	3.71153
775000	3.73936
775000	3.73251
775000	3.73027
775000	3.72607
775000	3.72415
780000	3.75562
780000	3.75111
780000	3.75450
780000	3.75311
780000	3.74608
785000	3.78809
785000	3.78487
785000	3.78521
785000	3.79272
785000	3.79080
790000	3.79616
790000	3.81496
790000	3.81799
790000	3.82093
790000	3.81664
795000	3.82623
795000	3.82351
795000	3.82921
795000	3.82557
795000	3.83007
800000	3.84203
800000	3.84017
800000	3.85909
800000	3.86171
800000	3.85011
805000	3.88036
805000	3.88379
805000	3.88527
805000	3.87934
805000	3.79140
810000	3.79393
810000	3.79707
810000	3.79747
810000	3.79205
810000	3.78646
815000	3.80877
815000	3.81112
815000	3.80931
815000	3.81193
815000	3.83453
820000	3.83725
820000	3.83486
820000	3.83755
820000	3.84863
820000	3.83666
825000	3.86783
825000	3.86855
825000	3.85058
825000	3.85073
825000	3.85735
830000	3.87829
830000	3.87853
830000	3.88034
830000	3.87709
830000	3.88428
835000	3.90664
835000	3.90892
835000	3.89949
835000	3.90551
835000	3.90625
840000	3.92639
840000	3.92757
840000	3.92992
840000	3.92830
840000	3.92964
845000	3.95164
845000	3.94481
845000	3.94378
845000	3.95671
845000	3.95548
850000	3.97531
850000	3.97616
850000	3.97194
850000	3.97531
850000	3.97501
855000	3.99568
855000	3.99751
855000	4.00874
855000	4.04266
855000	4.08995
860000	4.11002
860000	4.10595
860000	4.10905
860000	4.09634
860000	4.11852
865000	4.14475
865000	4.14839
865000	4.14667
865000	4.15064
865000	4.14971
870000	4.16768
870000	4.15686
870000	4.15535
870000	4.15573
870000	4.15313
875000	4.17886
875000	4.17459
875000	4.18300
875000	4.18620
875000	4.17986
880000	4.21052
880000	4.20914
880000	4.20855
880000	4.22082
880000	4.20148
885000	4.22592
885000	4.22623
885000	4.20073
885000	4.17575
885000	4.15606
890000	4.18026
890000	4.17759
890000	4.17206
890000	4.17554
890000	4.17540
895000	4.16429
895000	4.14436
895000	4.14520
895000	4.13988
895000	4.14091
900000	4.16603
900000	4.16601
900000	4.16784
900000	4.16067
900000	4.18021
905000	4.19618
905000	4.19423
905000	4.21054
905000	4.26236
905000	4.25501
910000	4.27971
910000	4.28048
910000	4.28479
910000	4.28212
910000	4.28420
915000	4.30700
915000	4.30037
915000	4.29845
915000	4.29779
915000	4.29845
920000	4.33048
920000	4.32754
920000	4.32909
920000	4.31332
920000	4.32096
925000	4.36569
925000	4.44510
925000	4.45809
925000	4.45861
925000	4.46157
930000	4.49622
930000	4.43832
930000	4.45880
930000	4.45409
930000	4.47612
935000	4.46909
935000	4.46758
935000	4.50207
935000	4.48982
935000	4.40384
940000	4.44550
940000	4.35814
940000	4.31686
940000	4.32642
940000	4.31608
945000	4.34378
945000	4.33426
945000	4.34469
945000	4.39002
945000	4.35529
950000	4.37655
950000	4.40503
950000	4.40714
950000	4.39785
950000	4.36355
955000	4.38840
955000	4.38612
955000	4.38068
955000	4.37857
955000	4.38261
960000	4.40358
960000	4.39792
960000	4.39802
960000	4.39861
960000	4.40175
965000	4.42299
965000	4.42082
965000	4.42459
965000	4.42489
965000	4.42620
970000	4.46033
970000	4.51247
970000	4.65816
970000	4.65821
970000	4.68699
975000	4.66909
975000	4.66889
975000	4.68922
975000	4.66779
975000	4.66042
980000	4.73508
980000	4.69348
980000	4.71071
980000	4.72145
980000	4.77777
985000	4.80033
985000	4.79421
985000	4.77570
985000	4.78741
985000	4.77322
990000	4.81017
990000	4.79521
990000	4.76202
990000	4.76641
990000	4.78788
995000	4.81885
995000	4.76917
995000	4.77356
995000	4.76109
995000	4.75789
1000000	4.77502
1000000	4.77589
1000000	4.77597
1000000	4.78163
1000000	4.77424
