# vazao do servidor, reqs/s
usr tput
10 66.31
20 111.06
30 168.18
40 234.10
50 247.45
60 279.71
70 369.63
80 412.74
90 448.86
100 523.50
110 487.19
120 516.35
130 519.59
140 491.82
150 488.09

